# Pipeline started at 05-27 08:15:11

# pid	hash	cid	runtime	mem	cmd	lock
434942	22debb7622	1	0:00:00.020000	 0.0	ln	lock.raw__H9_PRO-seq_3_R1.fastq.gz
434943	570f89924f	2	0:00:00.020000	 0.0	ln	lock.raw__H9_PRO-seq_3_R2.fastq.gz
434944	eb5ad4d6e0	3	0:01:01.390000	 0.0025	pigz	lock.fastq__H9_PRO-seq_3_R2.fastq
193819	78e920a57a	4	0:00:54.390000	 0.0025	pigz	lock.fastq__H9_PRO-seq_3_R2.fastq
343997	11064854c6	5	0:00:26.420000	 0.7351	cutadapt	lock.fastq__H9_PRO-seq_3_R1_processed.fastq
345550	4ac88fabd1	6	0:00:11.170000	 0.0008	seqtk	lock.fastq__H9_PRO-seq_3_R1_processed.fastq
345551	4ac88fabd1	7	0:00:24.720000	 0.0023	seqtk	lock.fastq__H9_PRO-seq_3_R1_processed.fastq
345588	365e4e9e18	7f	0:01:00.830000	 0.1953	fastqc	lock.trimmed_fastqc
347719	51c98db35d	8	0:00:46.990000	 2.0056	seqkit	lock.fastq__H9_PRO-seq_3_R1_trimmed.fastq
350036	26c9a903c8	9	0:00:13.010000	 0.0008	seqtk	lock.fastq__H9_PRO-seq_3_R1_trimmed.fastq
350037	26c9a903c8	10	0:00:24.510000	 0.0023	seqtk	lock.fastq__H9_PRO-seq_3_R1_trimmed.fastq
350127	8e6f55da9c	11	0:00:00.040000	 0.0004	touch	lock.fastq__processed_R1.flag
350133	c884b45d0e	12	0:01:12.940000	 0.7894	cutadapt	lock.fastq__H9_PRO-seq_3_R2_trimmed.fastq
350262	4ab50eba10	13	0:00:16.040000	 0.0008	seqtk	lock.fastq__H9_PRO-seq_3_R2_trimmed.fastq
350263	4ab50eba10	14	0:00:29.140000	 0.0023	seqtk	lock.fastq__H9_PRO-seq_3_R2_trimmed.fastq
350303	365e4e9e18	14f	0:01:01.590000	 0.1871	fastqc	lock.trimmed_fastqc
350389	9796a43fe2	14f	0:00:55.490000	 0.1829	fastqc	lock.trimmed_fastqc_R2
350664	910fb21349	15	0:03:31.040000	 6.1094	fastq_pair	lock.cutadapt__H9_PRO-seq_3.histogram
355012	9cd61a391f	16	0:00:39.890000	 0.1713	flash	lock.cutadapt__H9_PRO-seq_3.histogram
355206	48520afcbc	17	0:00:04.560000	 0.3183	Rscript	lock.cutadapt__H9_PRO-seq_3_adapter_insertion_distribution.pdf
355241	341970b18b	18	0:00:20.790000	 0.002	cp	lock.fastq__H9_PRO-seq_3_R2_trimmed_dups.fastq
355509	271922b611	19	0:00:00.050000	 0.0	touch	lock.fastq__processed_R2.flag
355510	6ae51ed75a	20	0:01:56.400000	 5.962	fastq_pair	lock.fastq__repaired.flag
355661	e82356fe22	21	0:00:00.870000	 0.0012	mv	lock.fastq__repaired.flag
355663	ceefa93f0e	22	0:00:00.520000	 0.0008	mv	lock.fastq__repaired.flag
355664	e531b320f3	23	0:00:00.020000	 0.0	touch	lock.fastq__repaired.flag
355665	aeea1e258e	24	0:02:31.420000	 5.1085	fastq_pair	lock.fastq__dups_repaired.flag
355813	f8183f3b44	25	0:00:00.490000	 0.0015	mv	lock.fastq__dups_repaired.flag
355814	72d767bc8a	26	0:00:00.600000	 0.0008	mv	lock.fastq__dups_repaired.flag
355816	3d704ccd2e	27	0:00:00.250000	 0.0004	touch	lock.fastq__dups_repaired.flag
355817	6d52d519d4	28	0:00:00.040000	 0.0015	mkfifo	lock.prealignments__human_rDNA_bt2
356632	8f322e22d5	30	0:00:00.370000	 0.0015	mkfifo	lock.prealignments__human_rDNA_dups_bt2
365634	575893edc3	32	0:21:43.170000	 4.0666	bowtie2	lock.aligned_hg38__H9_PRO-seq_3_sort.bam
365635	575893edc3	33	0:22:03.240000	 0.0037	samtools	lock.aligned_hg38__H9_PRO-seq_3_sort.bam
365636	575893edc3	34	0:26:17	 0.8978	samtools	lock.aligned_hg38__H9_PRO-seq_3_sort.bam
370790	acdf7ade93	35	0:01:27.800000	 0.0279	samtools	lock.aligned_hg38__H9_PRO-seq_3_sort.bam
373358	f918f77474	36	0:20:59.880000	 4.0648	bowtie2	lock.aligned_hg38__H9_PRO-seq_3_sort_dups.bam
373363	f918f77474	37	0:21:19.960000	 0.0037	samtools	lock.aligned_hg38__H9_PRO-seq_3_sort_dups.bam
373364	f918f77474	38	0:25:30.930000	 0.8974	samtools	lock.aligned_hg38__H9_PRO-seq_3_sort_dups.bam
