# Pipeline started at 02-27 09:26:35

# pid	hash	cid	runtime	mem	cmd	lock
230971	b25e6123bd	1	0:00:00.040000	 0.0015	ln	lock.raw__H9_treated_PRO-seq_3_R1.fastq.gz
230972	f0523bb74d	2	0:00:00.030000	 0.0004	ln	lock.raw__H9_treated_PRO-seq_3_R2.fastq.gz
230973	889bb508a5	3	0:01:17.530000	 0.0028	pigz	lock.fastq__H9_treated_PRO-seq_3_R2.fastq
55430	bed0bc250c	4	0:00:58.120000	 0.0028	pigz	lock.fastq__H9_treated_PRO-seq_3_R2.fastq
386169	1bb838e629	5	0:01:33.900000	 0.2704	cutadapt	lock.fastq__H9_treated_PRO-seq_3_R1_processed.fastq
386275	7932afd823	6	0:00:27.850000	 0.0008	seqtk	lock.fastq__H9_treated_PRO-seq_3_R1_processed.fastq
386277	7932afd823	7	0:00:40	 0.0025	seqtk	lock.fastq__H9_treated_PRO-seq_3_R1_processed.fastq
386330	6dae8a5467	7f	0:01:11.970000	 0.1766	fastqc	lock.trimmed_fastqc
386410	3143b4148e	8	0:00:57.600000	 2.0256	seqkit	lock.fastq__H9_treated_PRO-seq_3_R1_trimmed.fastq
386614	350173cc1c	9	0:00:14.690000	 0.0008	seqtk	lock.fastq__H9_treated_PRO-seq_3_R1_trimmed.fastq
386615	350173cc1c	10	0:00:26.910000	 0.0025	seqtk	lock.fastq__H9_treated_PRO-seq_3_R1_trimmed.fastq
386757	42e6f23618	11	0:00:00.040000	 0.0004	touch	lock.fastq__processed_R1.flag
386759	36e1cb4ba8	12	0:01:23.700000	 0.2651	cutadapt	lock.fastq__H9_treated_PRO-seq_3_R2_trimmed.fastq
386852	3268f3b2b8	13	0:00:27.300000	 0.0008	seqtk	lock.fastq__H9_treated_PRO-seq_3_R2_trimmed.fastq
386853	3268f3b2b8	14	0:00:30.470000	 0.0026	seqtk	lock.fastq__H9_treated_PRO-seq_3_R2_trimmed.fastq
386902	6dae8a5467	14f	0:01:12.660000	 0.1768	fastqc	lock.trimmed_fastqc
387046	f821c0376c	14f	0:01:17.340000	 0.1689	fastqc	lock.trimmed_fastqc_R2
387359	2252539b84	15	0:04:30.830000	 7.355	fastq_pair	lock.cutadapt__H9_treated_PRO-seq_3.histogram
387817	2bd4ab83de	16	0:01:31.540000	 0.1153	flash	lock.cutadapt__H9_treated_PRO-seq_3.histogram
388046	fb8b531da1	17	0:00:06.170000	 0.2015	Rscript	lock.cutadapt__H9_treated_PRO-seq_3_adapter_insertion_distribution.pdf
388074	7c8d746ff1	18	0:00:20.770000	 0.0021	cp	lock.fastq__H9_treated_PRO-seq_3_R2_trimmed_dups.fastq
388098	4f4d80e173	19	0:00:00.030000	 0.0004	touch	lock.fastq__processed_R2.flag
388099	3510f4a991	20	0:02:53.780000	 7.1299	fastq_pair	lock.fastq__repaired.flag
388249	b27d13f4a7	21	0:00:00.570000	 0.0015	mv	lock.fastq__repaired.flag
388250	5b0461151d	22	0:00:00.540000	 0.0009	mv	lock.fastq__repaired.flag
388252	477e5c5c29	23	0:00:00.020000	 0.0	touch	lock.fastq__repaired.flag
388253	35bb1bc0f0	24	0:01:52.010000	 6.597	fastq_pair	lock.fastq__dups_repaired.flag
388582	54037e57b5	25	0:00:00.490000	 0.0015	mv	lock.fastq__dups_repaired.flag
388583	65aaa39a9b	26	0:00:00.450000	 0.0009	mv	lock.fastq__dups_repaired.flag
388584	32e33ccbd4	27	0:00:00.030000	 0.0	touch	lock.fastq__dups_repaired.flag
