# Pipeline started at 02-18 11:08:58

# pid	hash	cid	runtime	mem	cmd	lock
53173	428664c3ea	1	0:00:00.020000	 0.0	ln	lock.raw__HEK_ARF_PRO-seq_R1.fastq.gz
53178	e40f02e06b	2	0:00:00.020000	 0.0	ln	lock.raw__HEK_ARF_PRO-seq_R2.fastq.gz
53184	b21b79dc7f	3	0:00:53.380000	 0.0028	pigz	lock.fastq__HEK_ARF_PRO-seq_R2.fastq
428181	75957c0e4b	4	0:01:15.390000	 0.0028	pigz	lock.fastq__HEK_ARF_PRO-seq_R2.fastq
271802	f9561c4d3d	5	0:00:33.100000	 0.2806	cutadapt	lock.fastq__HEK_ARF_PRO-seq_R1_processed.fastq
240938	5dc8ecf4ce	6	0:00:07.790000	 0.0008	seqtk	lock.fastq__HEK_ARF_PRO-seq_R1_processed.fastq
241848	5dc8ecf4ce	7	0:00:34.960000	 0.0025	seqtk	lock.fastq__HEK_ARF_PRO-seq_R1_processed.fastq
354766	f0b2761d86	7f	0:00:41.320000	 0.1561	fastqc	lock.trimmed_fastqc
129922	a152f7fd43	8	0:00:27.460000	 1.0292	seqkit	lock.fastq__HEK_ARF_PRO-seq_R1_trimmed.fastq
219872	87b042838e	9	0:00:07.850000	 0.0008	seqtk	lock.fastq__HEK_ARF_PRO-seq_R1_trimmed.fastq
221238	87b042838e	10	0:00:13.610000	 0.0025	seqtk	lock.fastq__HEK_ARF_PRO-seq_R1_trimmed.fastq
139898	8aa3ac4846	11	0:00:33.340000	 0.2825	cutadapt	lock.fastq__HEK_ARF_PRO-seq_R2_trimmed.fastq
2616	1c52b09ce4	12	0:00:07.810000	 0.0008	seqtk	lock.fastq__HEK_ARF_PRO-seq_R2_trimmed.fastq
2705	1c52b09ce4	13	0:00:16.480000	 0.0025	seqtk	lock.fastq__HEK_ARF_PRO-seq_R2_trimmed.fastq
25575	1cabfabb5a	13f	0:00:43.770000	 0.1529	fastqc	lock.trimmed_fastqc
25666	4aefe873a5	14	0:01:12.890000	 2.4423	fastq_pair	lock.cutadapt__HEK_ARF_PRO-seq.histogram
25806	6b02bff663	15	0:00:48.300000	 0.0815	flash	lock.cutadapt__HEK_ARF_PRO-seq.histogram
26016	776cac3742	16	0:00:17.770000	 0.2051	Rscript	lock.cutadapt__HEK_ARF_PRO-seq_adapter_insertion_distribution.pdf
26063	68a12154f7	17	0:00:06.130000	 0.002	cp	lock.fastq__HEK_ARF_PRO-seq_R2_trimmed_dups.fastq
26088	a0f40ee39c	18	0:01:00.670000	 2.5678	fastq_pair	lock.fastq__HEK_ARF_PRO-seq_R2_trimmed.fastq.paired.fq
26214	a6c115f688	19	0:00:00.260000	 0.0009	mv	lock.fastq__repaired.flag
26216	6e6ad71000	20	0:00:00.260000	 0.0009	mv	lock.fastq__repaired.flag
26217	3b23829798	21	0:00:00.130000	 0.0004	touch	lock.fastq__repaired.flag
26218	93d54a32f1	22	0:01:15.080000	 1.9938	fastq_pair	lock.fastq__HEK_ARF_PRO-seq_R2_trimmed_dups.fastq.paired.fq
26560	ed49014af6	23	0:00:00.530000	 0.0015	mv	lock.fastq__dups_repaired.flag
26561	eae5d24466	24	0:00:00.250000	 0.0009	mv	lock.fastq__dups_repaired.flag
26562	b389f32309	25	0:00:00.070000	 0.0	touch	lock.fastq__dups_repaired.flag
26563	cf77e730da	26	0:00:00.060000	 0.0008	mkfifo	lock.prealignments__human_rDNA_bt2
26802	e043174130	28	0:00:00.260000	 0.0001	mkfifo	lock.prealignments__human_rDNA_dups_bt2
26968	313a48e5d1	30	0:36:53.510000	 3.6543	bowtie2	lock.aligned_hg38__HEK_ARF_PRO-seq_sort.bam
26969	313a48e5d1	31	0:37:13.550000	 0.0035	samtools	lock.aligned_hg38__HEK_ARF_PRO-seq_sort.bam
26970	313a48e5d1	32	0:39:37.310000	 0.8805	samtools	lock.aligned_hg38__HEK_ARF_PRO-seq_sort.bam
32009	bf192dcd2f	33	0:00:58.130000	 0.0148	samtools	lock.aligned_hg38__HEK_ARF_PRO-seq_sort.bam
33320	1784143ee5	35	0:38:13.420000	 0.0035	samtools	lock.aligned_hg38__HEK_ARF_PRO-seq_sort_dups.bam
33314	1784143ee5	34	0:38:13.440000	 3.653	bowtie2	lock.aligned_hg38__HEK_ARF_PRO-seq_sort_dups.bam
33324	1784143ee5	36	0:40:50.100000	 0.8873	samtools	lock.aligned_hg38__HEK_ARF_PRO-seq_sort_dups.bam
37562	0e5036b958	37	0:00:53.450000	 0.0146	samtools	lock.aligned_hg38__HEK_ARF_PRO-seq_sort_dups.bam
37630	b7dd7d8827	38	0:00:17.270000	 0.0083	pigz	lock.prealignments__HEK_ARF_PRO-seq_human_rDNA_unmap_R2.fq.gz
37656	2cd516fc80	39	0:00:19.100000	 0.0062	pigz	lock.prealignments__HEK_ARF_PRO-seq_human_rDNA_unmap_R1.fq.gz
37690	1b502699ff	40	0:00:19.240000	 0.0156	samtools	lock.aligned_hg38__HEK_ARF_PRO-seq_temp.bam.bai
37711	929cfa7571	41	0:00:13.260000	 0.0078	samtools	lock.aligned_hg38__HEK_ARF_PRO-seq_noMT.bam
37726	b47d812537	44	0:00:00.070000	 0.0	grep	lock.aligned_hg38__HEK_ARF_PRO-seq_noMT.bam
37724	b47d812537	42	0:00:00.090000	 0.0091	samtools	lock.aligned_hg38__HEK_ARF_PRO-seq_noMT.bam
37725	b47d812537	43	0:00:00.890000	 0.0007	cut	lock.aligned_hg38__HEK_ARF_PRO-seq_noMT.bam
37727	b47d812537	45	0:00:17.410000	 0.0541	xargs	lock.aligned_hg38__HEK_ARF_PRO-seq_noMT.bam
37757	db13186506	46	0:00:00.170000	 0.0015	mv	lock.aligned_hg38__HEK_ARF_PRO-seq_noMT.bam
37758	929cfa7571	47	0:00:14.510000	 0.0176	samtools	lock.aligned_hg38__HEK_ARF_PRO-seq_noMT.bam
37793	1b90916a73	49	0:01:17.230000	 2.0387	samtools	lock.aligned_hg38__HEK_ARF_PRO-seq_PE2.bam
37792	1b90916a73	48	0:01:17.260000	 0.0036	samtools	lock.aligned_hg38__HEK_ARF_PRO-seq_PE2.bam
37908	0244fca3c4	50	0:00:54.640000	 0.0036	samtools	lock.aligned_hg38__HEK_ARF_PRO-seq_PE2.bam
37909	0244fca3c4	51	0:01:01.660000	 1.8047	samtools	lock.aligned_hg38__HEK_ARF_PRO-seq_PE2.bam
38269	48f4e58e15	52	0:00:18.800000	 0.0158	samtools	lock.aligned_hg38__HEK_ARF_PRO-seq_temp_dups.bam.bai
38300	f66dc0a9a9	61	0:01:16.750000	 2.0188	samtools	lock.aligned_hg38__HEK_ARF_PRO-seq_dups_PE2.bam
38299	f66dc0a9a9	60	0:01:16.780000	 0.0036	samtools	lock.aligned_hg38__HEK_ARF_PRO-seq_dups_PE2.bam
38438	e14210bb5c	62	0:00:52.490000	 0.0036	samtools	lock.aligned_hg38__HEK_ARF_PRO-seq_dups_PE2.bam
38439	e14210bb5c	63	0:00:59.940000	 1.6869	samtools	lock.aligned_hg38__HEK_ARF_PRO-seq_dups_PE2.bam
38527	53291a1225	64	0:00:57.730000	 0.0052	preseq	lock.QC_hg38__HEK_ARF_PRO-seq_preseq_out.txt
38587	7235b8ffe7	65	0:01:01	 0.0052	preseq	lock.QC_hg38__HEK_ARF_PRO-seq_preseq_yield.txt
38841	6bda0b6858	66	0:00:14.530000	 0.0061	echo	lock.QC_hg38__HEK_ARF_PRO-seq_preseq_counts.txt
38861	e8d2af1291	67	0:00:06.250000	 0.2051	Rscript	lock.QC_hg38__HEK_ARF_PRO-seq_preseq_plot.png
38881	eea697f440	68	0:00:07.830000	 0.0108	samtools	lock.aligned_hg38__HEK_ARF_PRO-seq_PE1.bam.bai
38890	8292f38d3c	69	0:00:18.020000	 0.82	/scratch/jps3dp/tools/databio/peppro/tools/bamQC.py	lock.QC_hg38__HEK_ARF_PRO-seq_bamQC.tsv
38935	834951df65	70	0:00:04.800000	 0.0079	samtools	lock.aligned_hg38__HEK_ARF_PRO-seq_unmap.bam
38965	70e2919bb1	71	0:00:33.850000	 0.0064	samtools	lock.aligned_hg38__HEK_ARF_PRO-seq_minus.bam
38998	710909d750	72	0:00:33.810000	 0.0064	samtools	lock.aligned_hg38__HEK_ARF_PRO-seq_minus.bam
