# Pipeline started at 02-27 09:25:03

# pid	hash	cid	runtime	mem	cmd	lock
184008	7fa0a9bf4d	1	0:00:00.020000	 0.0	ln	lock.raw__HEK_PRO-seq_R1.fastq.gz
184009	6eeef3c3e6	2	0:00:00.020000	 0.0	ln	lock.raw__HEK_PRO-seq_R2.fastq.gz
184010	7c54a5f040	3	0:00:37.910000	 0.0028	pigz	lock.fastq__HEK_PRO-seq_R2.fastq
184052	837825d90d	4	0:00:31.150000	 0.0028	pigz	lock.fastq__HEK_PRO-seq_R2.fastq
184144	1abfe1ee1a	5	0:00:34.690000	 0.2762	cutadapt	lock.fastq__HEK_PRO-seq_R1_processed.fastq
184204	3b57dc06a9	6	0:00:08.060000	 0.0008	seqtk	lock.fastq__HEK_PRO-seq_R1_processed.fastq
184205	3b57dc06a9	7	0:00:17.180000	 0.0025	seqtk	lock.fastq__HEK_PRO-seq_R1_processed.fastq
184240	7c95d7d602	7f	0:00:49.360000	 0.162	fastqc	lock.trimmed_fastqc
184316	c825b874ae	8	0:00:33.770000	 0.991	seqkit	lock.fastq__HEK_PRO-seq_R1_trimmed.fastq
184375	ae0825e193	9	0:00:08.240000	 0.0008	seqtk	lock.fastq__HEK_PRO-seq_R1_trimmed.fastq
184376	ae0825e193	10	0:00:15.130000	 0.0025	seqtk	lock.fastq__HEK_PRO-seq_R1_trimmed.fastq
184422	36caf41c90	11	0:00:00.040000	 0.0015	touch	lock.fastq__processed_R1.flag
184424	855c3d673c	12	0:00:37.880000	 0.2831	cutadapt	lock.fastq__HEK_PRO-seq_R2_trimmed.fastq
184478	9380074669	13	0:00:17.170000	 0.0008	seqtk	lock.fastq__HEK_PRO-seq_R2_trimmed.fastq
184479	9380074669	14	0:00:25.020000	 0.0025	seqtk	lock.fastq__HEK_PRO-seq_R2_trimmed.fastq
184733	7c95d7d602	14f	0:00:52.780000	 0.1621	fastqc	lock.trimmed_fastqc
184796	1fe622d8d4	14f	0:00:48.280000	 0.1886	fastqc	lock.trimmed_fastqc_R2
184858	5f2c9a7621	15	0:01:26.840000	 2.4701	fastq_pair	lock.cutadapt__HEK_PRO-seq.histogram
184938	59f1fbb731	16	0:01:02.230000	 0.1197	flash	lock.cutadapt__HEK_PRO-seq.histogram
185146	b968bd007d	17	0:00:07.140000	 0.1273	Rscript	lock.cutadapt__HEK_PRO-seq_adapter_insertion_distribution.pdf
185175	251f429cf3	18	0:00:14.710000	 0.002	cp	lock.fastq__HEK_PRO-seq_R2_trimmed_dups.fastq
185188	13fdd1e68d	19	0:00:00.080000	 0.0	touch	lock.fastq__processed_R2.flag
185190	ca9428a8de	20	0:01:21.770000	 2.5015	fastq_pair	lock.fastq__repaired.flag
185512	786a97fd9b	21	0:00:01.210000	 0.0015	mv	lock.fastq__repaired.flag
185514	6ec6239910	22	0:00:00.250000	 0.0009	mv	lock.fastq__repaired.flag
185515	71750be26b	23	0:00:00.030000	 0.0	touch	lock.fastq__repaired.flag
185516	5b739781e3	24	0:01:19.930000	 2.5913	fastq_pair	lock.fastq__dups_repaired.flag
185617	1b27f59f06	25	0:00:00.420000	 0.0009	mv	lock.fastq__dups_repaired.flag
185618	86d9eb52e5	26	0:00:00.490000	 0.0009	mv	lock.fastq__dups_repaired.flag
185620	4c363a2a16	27	0:00:00.120000	 0.0004	touch	lock.fastq__dups_repaired.flag
185621	90eef7e449	28	0:00:00.030000	 0.0015	mkfifo	lock.prealignments__human_rDNA_bt2
185754	4ff5edbbe6	30	0:00:00.090000	 0.0008	mkfifo	lock.prealignments__human_rDNA_dups_bt2
186115	62c81645e4	33	0:46:23.420000	 0.0035	samtools	lock.aligned_hg38__HEK_PRO-seq_sort.bam
186114	62c81645e4	32	0:46:23.460000	 3.6585	bowtie2	lock.aligned_hg38__HEK_PRO-seq_sort.bam
186116	62c81645e4	34	0:49:26.550000	 0.8844	samtools	lock.aligned_hg38__HEK_PRO-seq_sort.bam
191321	279be3876c	35	0:00:53.150000	 0.0146	samtools	lock.aligned_hg38__HEK_PRO-seq_sort.bam
192829	ecbecb1a44	36	0:41:46.050000	 3.6634	bowtie2	lock.aligned_hg38__HEK_PRO-seq_sort_dups.bam
192830	ecbecb1a44	37	0:42:06.110000	 0.0035	samtools	lock.aligned_hg38__HEK_PRO-seq_sort_dups.bam
192831	ecbecb1a44	38	0:44:59.170000	 0.8819	samtools	lock.aligned_hg38__HEK_PRO-seq_sort_dups.bam
197499	bb116c71be	39	0:00:54	 0.0169	samtools	lock.aligned_hg38__HEK_PRO-seq_sort_dups.bam
197567	22485ee54e	40	0:00:26.970000	 0.0084	pigz	lock.prealignments__HEK_PRO-seq_human_rDNA_unmap_R1.fq.gz
197600	4f48480157	41	0:00:24.380000	 0.0084	pigz	lock.prealignments__HEK_PRO-seq_human_rDNA_unmap_R2.fq.gz
197639	acd459d69b	42	0:00:26.880000	 0.0123	samtools	lock.aligned_hg38__HEK_PRO-seq_temp.bam.bai
197682	73cd31cb01	43	0:00:21.150000	 0.0141	samtools	lock.aligned_hg38__HEK_PRO-seq_noMT.bam
197702	af4b95965f	46	0:00:00.100000	 0.0	grep	lock.aligned_hg38__HEK_PRO-seq_noMT.bam
197700	af4b95965f	44	0:00:00.120000	 0.0053	samtools	lock.aligned_hg38__HEK_PRO-seq_noMT.bam
197701	af4b95965f	45	0:00:00.930000	 0.0007	cut	lock.aligned_hg38__HEK_PRO-seq_noMT.bam
197703	af4b95965f	47	0:00:27.020000	 0.0737	xargs	lock.aligned_hg38__HEK_PRO-seq_noMT.bam
197741	d8419fbe30	48	0:00:00.210000	 0.0015	mv	lock.aligned_hg38__HEK_PRO-seq_noMT.bam
197743	73cd31cb01	49	0:00:21.140000	 0.0144	samtools	lock.aligned_hg38__HEK_PRO-seq_noMT.bam
197761	800b8f6a60	50	0:01:39.160000	 0.0036	samtools	lock.aligned_hg38__HEK_PRO-seq_PE2.bam
197762	800b8f6a60	51	0:01:53.690000	 3.2766	samtools	lock.aligned_hg38__HEK_PRO-seq_PE2.bam
198151	6b1bc511f2	52	0:01:28.050000	 0.0036	samtools	lock.aligned_hg38__HEK_PRO-seq_PE2.bam
198152	6b1bc511f2	53	0:01:40.810000	 2.7519	samtools	lock.aligned_hg38__HEK_PRO-seq_PE2.bam
198327	efea611b69	54	0:00:25.500000	 0.0127	samtools	lock.aligned_hg38__HEK_PRO-seq_temp_dups.bam.bai
198358	e6ee146ded	62	0:01:37.910000	 0.0036	samtools	lock.aligned_hg38__HEK_PRO-seq_dups_PE2.bam
198359	e6ee146ded	63	0:01:52.680000	 3.2265	samtools	lock.aligned_hg38__HEK_PRO-seq_dups_PE2.bam
198699	65e6a185de	64	0:01:27.360000	 0.0036	samtools	lock.aligned_hg38__HEK_PRO-seq_dups_PE2.bam
198700	65e6a185de	65	0:01:39.010000	 2.7076	samtools	lock.aligned_hg38__HEK_PRO-seq_dups_PE2.bam
198812	5b3bfc5dec	66	0:01:27.300000	 0.0052	preseq	lock.QC_hg38__HEK_PRO-seq_preseq_out.txt
198916	9d8f9d1114	67	0:01:32.440000	 0.0051	preseq	lock.QC_hg38__HEK_PRO-seq_preseq_yield.txt
199217	2738b370cc	68	0:00:22	 0.0061	echo	lock.QC_hg38__HEK_PRO-seq_preseq_counts.txt
199243	4156b39f7b	69	0:00:05.200000	 0.2149	Rscript	lock.QC_hg38__HEK_PRO-seq_preseq_plot.png
199263	1f41a5088c	70	0:00:11.470000	 0.0081	samtools	lock.aligned_hg38__HEK_PRO-seq_PE1.bam.bai
199273	285dbe047b	71	0:00:18.690000	 1.0837	/scratch/jps3dp/tools/databio/peppro/tools/bamQC.py	lock.QC_hg38__HEK_PRO-seq_bamQC.tsv
199310	caaf61fcad	72	0:00:05.710000	 0.0084	samtools	lock.aligned_hg38__HEK_PRO-seq_unmap.bam
199344	90261c5af2	73	0:00:50.900000	 0.0064	samtools	lock.aligned_hg38__HEK_PRO-seq_minus.bam
199391	b49c8e2c09	74	0:00:49.930000	 0.0064	samtools	lock.aligned_hg38__HEK_PRO-seq_minus.bam
199448	14a65e2d1f	75	0:00:00.410000	 0.0015	sed	lock.QC_hg38__minus_TSS.tsv
199449	349ca5ef56	76	0:00:06.900000	 0.6114	/scratch/jps3dp/tools/databio/peppro/tools/pyTssEnrichment.py	lock.QC_hg38__HEK_PRO-seq_plus_TssEnrichment.txt
199474	62df245d6f	77	0:00:06.460000	 0.6187	/scratch/jps3dp/tools/databio/peppro/tools/pyTssEnrichment.py	lock.QC_hg38__HEK_PRO-seq_minus_TssEnrichment.txt
199498	44458242e8	78	0:00:04.920000	 0.238	Rscript	lock.QC_hg38__HEK_PRO-seq_TSSenrichment.pdf
199517	2fc687e55c	79	0:00:00.050000	 0.0	samtools	lock.QC_hg38__chr_order.txt
199519	2fc687e55c	81	0:00:00.070000	 0.0	awk	lock.QC_hg38__chr_order.txt
199518	2fc687e55c	80	0:00:00.080000	 0.0	grep	lock.QC_hg38__chr_order.txt
199520	2fc687e55c	82	0:00:00.100000	 0.0	awk	lock.QC_hg38__chr_order.txt
199522	99affaea5e	83	0:00:00.020000	 0.0	cut	lock.QC_hg38__chr_keep.txt
199524	9bd5ec5622	84	0:00:01.890000	 0.0027	grep	lock.QC_hg38__hg38_ensembl_gene_body.bed
199525	9bd5ec5622	85	0:00:02.080000	 0.0995	bedtools	lock.QC_hg38__hg38_ensembl_gene_body.bed
199529	4c9f69266b	86	0:00:00.630000	 0.0022	grep	lock.QC_hg38__hg38_ensembl_gene_body.bed
199530	4c9f69266b	87	0:00:00.680000	 0.0223	bedtools	lock.QC_hg38__hg38_ensembl_gene_body.bed
199535	6cf9f99816	88	0:00:20.740000	 0.009	bedtools	lock.QC_hg38__HEK_PRO-seq_TSS_density.bed
199537	6cf9f99816	90	0:00:21.540000	 0.0138	sort	lock.QC_hg38__HEK_PRO-seq_TSS_density.bed
199536	6cf9f99816	89	0:00:21.600000	 0.0011	awk	lock.QC_hg38__HEK_PRO-seq_TSS_density.bed
199538	6cf9f99816	91	0:00:21.710000	 0.0034	sort	lock.QC_hg38__HEK_PRO-seq_TSS_density.bed
199562	4115549c3c	93	0:00:28.010000	 0.0011	awk	lock.QC_hg38__HEK_PRO-seq_gene_body_density.bed
199561	4115549c3c	92	0:00:28.030000	 0.0329	bedtools	lock.QC_hg38__HEK_PRO-seq_gene_body_density.bed
199563	4115549c3c	94	0:00:28.100000	 0.0067	sort	lock.QC_hg38__HEK_PRO-seq_gene_body_density.bed
199587	522e7a46da	95	0:00:00.170000	 0.0007	join	lock.QC_hg38__HEK_PRO-seq_pause_index.bed
199589	522e7a46da	97	0:00:00.400000	 0.0057	env	lock.QC_hg38__HEK_PRO-seq_pause_index.bed
199588	522e7a46da	96	0:00:00.420000	 0.0011	awk	lock.QC_hg38__HEK_PRO-seq_pause_index.bed
199595	505e74fed9	98	0:00:04.960000	 0.2363	Rscript	lock.QC_hg38__HEK_PRO-seq_pause_index.pdf
199614	f6e23851ec	99	0:00:00.050000	 0.0056	pigz	lock.QC_hg38__HEK_PRO-seq_pause_index.bed.gz
199662	ef0fc9172d	100	0:00:00.800000	 0.0043	grep	lock.signal_hg38__HEK_PRO-seq_gene_coverage.bed
199663	ef0fc9172d	101	0:00:00.810000	 0.0053	bedtools	lock.signal_hg38__HEK_PRO-seq_gene_coverage.bed
199666	9c48a7c415	102	0:00:24.850000	 0.036	bedtools	lock.signal_hg38__HEK_PRO-seq_gene_coverage.bed
199904	1b0be39b3b	103	0:00:00.090000	 0.0015	ln	lock.raw__hg38_annotations.bed
199905	6a7aa178df	104	0:00:00.730000	 0.0026	pigz	lock.raw__hg38_annotations.bed
199914	16b5e422ad	105	0:00:01.490000	 0.0023	awk	lock.QC_hg38__3' UTR
199916	324d18c2fc	106	0:00:00.020000	 0.0	mv	lock.QC_hg38__3_UTR
