# Pipeline started at 06-15 07:17:11

# pid	hash	cid	runtime	mem	cmd	lock
380685	8918a88e9a	1	0:00:00.020000	 0.0	ln	lock.raw__Jurkat_ChRO-seq_2.fastq.gz
380689	3dae689bc9	2	0:02:56.720000	 0.0025	pigz	lock.fastq__Jurkat_ChRO-seq_2_R1.fastq
381356	ccbdccaa53	3	0:02:08.390000	 3.4958	cutadapt	lock.fastq__Jurkat_ChRO-seq_2_R1_processed.fastq
381610	9ef017f811	4	0:01:27.380000	 0.0008	seqtk	lock.fastq__Jurkat_ChRO-seq_2_R1_processed.fastq
381611	9ef017f811	5	0:01:32.300000	 0.0023	seqtk	lock.fastq__Jurkat_ChRO-seq_2_R1_processed.fastq
382001	d882a15335	5f	0:01:52.080000	 0.1816	fastqc	lock.trimmed_fastqc
382314	eb1cd06674	6	0:02:05.180000	 4.0615	seqkit	lock.fastq__Jurkat_ChRO-seq_2_R1_trimmed.fastq
382617	d3237d56f1	7	0:00:53.830000	 0.0008	seqtk	lock.fastq__Jurkat_ChRO-seq_2_R1_trimmed.fastq
382618	d3237d56f1	8	0:00:59.920000	 0.0023	seqtk	lock.fastq__Jurkat_ChRO-seq_2_R1_trimmed.fastq
383074	09b5a5049b	9	0:00:00.040000	 0.0015	touch	lock.fastq__processed_R1.flag
383075	48b1e037f3	10	0:00:04.610000	 0.3165	Rscript	lock.cutadapt__Jurkat_ChRO-seq_2_R1_adapter_insertion_distribution.pdf
384181	1a0f85e83d	11	0:13:42.460000	 3.6889	bowtie2	lock.aligned_hg38__Jurkat_ChRO-seq_2_sort.bam
384182	1a0f85e83d	12	0:14:02.520000	 0.0037	samtools	lock.aligned_hg38__Jurkat_ChRO-seq_2_sort.bam
384183	1a0f85e83d	13	0:17:26.870000	 0.8977	samtools	lock.aligned_hg38__Jurkat_ChRO-seq_2_sort.bam
385717	35e863c858	14	0:01:10.480000	 0.0176	samtools	lock.aligned_hg38__Jurkat_ChRO-seq_2_sort.bam
387215	55433544a4	15	0:10:44.750000	 3.6901	bowtie2	lock.aligned_hg38__Jurkat_ChRO-seq_2_sort_dups.bam
387216	55433544a4	16	0:11:04.820000	 0.0037	samtools	lock.aligned_hg38__Jurkat_ChRO-seq_2_sort_dups.bam
387217	55433544a4	17	0:14:27.210000	 0.8975	samtools	lock.aligned_hg38__Jurkat_ChRO-seq_2_sort_dups.bam
389084	49b4f2c1d9	18	0:01:03.890000	 0.0177	samtools	lock.aligned_hg38__Jurkat_ChRO-seq_2_sort_dups.bam
389153	cb3ef45b89	19	0:00:55.150000	 0.013	pigz	lock.prealignments__Jurkat_ChRO-seq_2_human_rDNA_unmap.fq.gz
389213	59d249aae3	20	0:00:30.820000	 0.0113	samtools	lock.aligned_hg38__Jurkat_ChRO-seq_2_temp.bam.bai
389520	38361d9743	21	0:00:23.950000	 0.012	samtools	lock.aligned_hg38__Jurkat_ChRO-seq_2_noMT.bam
389541	37dd880896	23	0:00:00.060000	 0.0	cut	lock.aligned_hg38__Jurkat_ChRO-seq_2_noMT.bam
389543	37dd880896	25	0:00:00.080000	 0.0	grep	lock.aligned_hg38__Jurkat_ChRO-seq_2_noMT.bam
