# Pipeline started at 05-27 10:17:27

# pid	hash	cid	runtime	mem	cmd	lock
113055	5138fc6e60	1	0:00:00.030000	 0.0	ln	lock.raw__K562_GRO-seq.fastq.gz
113056	6e341a3aa9	2	0:00:36.600000	 0.0025	pigz	lock.fastq__K562_GRO-seq_R1.fastq
113137	5ea00be03b	3	0:00:26.840000	 0.7043	cutadapt	lock.fastq__K562_GRO-seq_R1_processed.fastq
113212	70219e98b8	4	0:00:12.890000	 0.0008	seqtk	lock.fastq__K562_GRO-seq_R1_processed.fastq
113213	70219e98b8	5	0:00:27.860000	 0.0023	seqtk	lock.fastq__K562_GRO-seq_R1_processed.fastq
113274	78c13b97da	6	0:00:00.030000	 0.0	echo	lock.fastqc__K562_GRO-seq_R1_processed_fastqc.html
113281	bcb6473a60	6f	0:01:15.430000	 0.1837	fastqc	lock.trimmed_fastqc
113798	c64d9da5b1	7	0:00:00.040000	 0.0015	touch	lock.fastq__processed_R1.flag
113799	1ba0a3d1ed	8	0:00:04.730000	 0.3204	Rscript	lock.cutadapt__K562_GRO-seq_R1_adapter_insertion_distribution.pdf
114417	0e36fde2f1	10	0:05:08.910000	 0.0037	samtools	lock.aligned_hg38__K562_GRO-seq_sort.bam
114416	0e36fde2f1	9	0:05:08.930000	 3.8899	bowtie2	lock.aligned_hg38__K562_GRO-seq_sort.bam
114418	0e36fde2f1	11	0:07:33.630000	 0.9021	samtools	lock.aligned_hg38__K562_GRO-seq_sort.bam
115388	2e57ef068c	12	0:00:37.630000	 0.028	samtools	lock.aligned_hg38__K562_GRO-seq_sort.bam
116536	440950f1f5	13	0:00:15.060000	 0.025	pigz	lock.prealignments__K562_GRO-seq_human_rDNA_unmap.fq.gz
116582	d8d6a6f842	14	0:00:17.770000	 0.0169	samtools	lock.aligned_hg38__K562_GRO-seq_temp.bam.bai
116601	b5b21d2042	15	0:00:13.520000	 0.0072	samtools	lock.aligned_hg38__K562_GRO-seq_noMT.bam
116615	7ce2f545a2	17	0:00:00.060000	 0.0	cut	lock.aligned_hg38__K562_GRO-seq_noMT.bam
116617	7ce2f545a2	19	0:00:00.070000	 0	grep	lock.aligned_hg38__K562_GRO-seq_noMT.bam
116614	7ce2f545a2	16	0:00:00.080000	 0.0097	samtools	lock.aligned_hg38__K562_GRO-seq_noMT.bam
116616	7ce2f545a2	18	0:00:00.090000	 0.0	awk	lock.aligned_hg38__K562_GRO-seq_noMT.bam
116619	deec33d82b	20	0:00:10.680000	 0.029	samtools	lock.aligned_hg38__K562_GRO-seq_noMT.bam
116656	cce993442c	21	0:00:00.170000	 0.0008	mv	lock.aligned_hg38__K562_GRO-seq_noMT.bam
116657	b5b21d2042	22	0:00:13.440000	 0.0072	samtools	lock.aligned_hg38__K562_GRO-seq_noMT.bam
116738	31026a07fa	24	0:00:17.680000	 1.7177	/scratch/jps3dp/tools/databio//peppro/tools/bamQC.py	lock.QC_hg38__K562_GRO-seq_bamQC.tsv
116808	daf21c2fc3	25	0:00:04.230000	 0.0347	samtools	lock.aligned_hg38__K562_GRO-seq_unmap.bam
116868	d84a5996bd	26	0:01:00.180000	 0.0063	samtools	lock.aligned_hg38__K562_GRO-seq_minus.bam
117134	e372d1652c	27	0:00:59.740000	 0.0063	samtools	lock.aligned_hg38__K562_GRO-seq_minus.bam
117198	c9417a2fd0	28	0:00:00.210000	 0.001	sed	lock.QC_hg38__minus_TSS.tsv
117199	177cf511b7	29	0:00:03.770000	 1.0486	/scratch/jps3dp/tools/databio//peppro/tools/pyTssEnrichment.py	lock.QC_hg38__K562_GRO-seq_plus_TssEnrichment.txt
117253	c72d0e6b66	30	0:00:03.340000	 1.172	/scratch/jps3dp/tools/databio//peppro/tools/pyTssEnrichment.py	lock.QC_hg38__K562_GRO-seq_minus_TssEnrichment.txt
117307	1ac6e2cb4a	31	0:00:06.170000	 0.3165	Rscript	lock.QC_hg38__K562_GRO-seq_TSSenrichment.pdf
117334	c715fb8458	32	0:00:00.040000	 0.0	samtools	lock.QC_hg38__chr_order.txt
117336	c715fb8458	34	0:00:00.050000	 0.0	awk	lock.QC_hg38__chr_order.txt
117335	c715fb8458	33	0:00:00.060000	 0.0	grep	lock.QC_hg38__chr_order.txt
117337	c715fb8458	35	0:00:00.080000	 0.0	awk	lock.QC_hg38__chr_order.txt
117340	47bf5892bf	36	0:00:00.020000	 0.0	cut	lock.QC_hg38__chr_keep.txt
117342	7076b1e518	37	0:00:01.630000	 0.0042	grep	lock.QC_hg38__hg38_ensembl_gene_body.bed
117343	7076b1e518	38	0:00:01.860000	 0.0957	bedtools	lock.QC_hg38__hg38_ensembl_gene_body.bed
117346	744c66d48b	39	0:00:00.300000	 0.0026	grep	lock.QC_hg38__hg38_ensembl_gene_body.bed
117347	744c66d48b	40	0:00:00.340000	 0.0049	bedtools	lock.QC_hg38__hg38_ensembl_gene_body.bed
117349	152b50d31f	41	0:00:22.420000	 0.0143	bedtools	lock.QC_hg38__K562_GRO-seq_TSS_density.bed
117351	152b50d31f	43	0:00:22.860000	 0.0047	sort	lock.QC_hg38__K562_GRO-seq_TSS_density.bed
117350	152b50d31f	42	0:00:22.870000	 0.001	awk	lock.QC_hg38__K562_GRO-seq_TSS_density.bed
117352	152b50d31f	44	0:00:22.990000	 0.0028	sort	lock.QC_hg38__K562_GRO-seq_TSS_density.bed
117385	8abf762320	46	0:00:26.880000	 0.001	awk	lock.QC_hg38__K562_GRO-seq_gene_body_density.bed
117384	8abf762320	45	0:00:26.900000	 0.0515	bedtools	lock.QC_hg38__K562_GRO-seq_gene_body_density.bed
117386	8abf762320	47	0:00:27.010000	 0.0086	sort	lock.QC_hg38__K562_GRO-seq_gene_body_density.bed
117409	7bc77510a9	48	0:00:00.140000	 0.0007	join	lock.QC_hg38__K562_GRO-seq_pause_index.bed
117411	7bc77510a9	50	0:00:00.330000	 0.0059	env	lock.QC_hg38__K562_GRO-seq_pause_index.bed
117410	7bc77510a9	49	0:00:00.340000	 0.001	awk	lock.QC_hg38__K562_GRO-seq_pause_index.bed
117417	e182de7cdc	51	0:00:04.560000	 0.3191	Rscript	lock.QC_hg38__K562_GRO-seq_pause_index.pdf
117443	812cded5c1	52	0:00:00.040000	 0.0053	pigz	lock.QC_hg38__K562_GRO-seq_pause_index.bed.gz
117500	b7ff64ca80	53	0:00:00.750000	 0.0042	grep	lock.signal_hg38__K562_GRO-seq_gene_coverage.bed
117501	b7ff64ca80	54	0:00:00.760000	 0.005	bedtools	lock.signal_hg38__K562_GRO-seq_gene_coverage.bed
117504	7690712be8	55	0:00:26.140000	 0.0745	bedtools	lock.signal_hg38__K562_GRO-seq_gene_coverage.bed
117529	1ae47a74bb	56	0:00:00.040000	 0.0015	ln	lock.raw__hg38_annotations.bed
117530	6593852f12	57	0:00:00.360000	 0.0023	pigz	lock.raw__hg38_annotations.bed
117539	863a5fd975	58	0:00:01.440000	 0.0023	awk	lock.QC_hg38__Enhancer
117541	b415365829	59	0:00:00.040000	 0.0	cut	lock.QC_hg38__Enhancer_sort.bed
117542	b415365829	60	0:00:00.690000	 0.0023	grep	lock.QC_hg38__Enhancer_sort.bed
117544	b415365829	62	0:00:00.730000	 0.0465	bedtools	lock.QC_hg38__Enhancer_sort.bed
117543	b415365829	61	0:00:00.750000	 0.0007	cut	lock.QC_hg38__Enhancer_sort.bed
117546	9a34f190c9	63	0:00:11	 0.0072	bedtools	lock.QC_hg38__K562_GRO-seq_Enhancer_plus_coverage.bed
117557	5192394a14	64	0:00:10.630000	 0.0074	bedtools	lock.QC_hg38__K562_GRO-seq_Enhancer_minus_coverage.bed
117573	4d326852cf	66	0:00:00.040000	 0.0	cut	lock.QC_hg38__Promoter_sort.bed
117574	4d326852cf	67	0:00:00.250000	 0.0026	grep	lock.QC_hg38__Promoter_sort.bed
117576	4d326852cf	69	0:00:00.270000	 0.0083	bedtools	lock.QC_hg38__Promoter_sort.bed
117575	4d326852cf	68	0:00:00.280000	 0.0007	cut	lock.QC_hg38__Promoter_sort.bed
117578	8c2a4d42e8	70	0:00:11.310000	 0.0253	bedtools	lock.QC_hg38__K562_GRO-seq_Promoter_plus_coverage.bed
117596	f96872ffe3	71	0:00:10.790000	 0.0268	bedtools	lock.QC_hg38__K562_GRO-seq_Promoter_minus_coverage.bed
117607	c9faccb8b0	73	0:00:00.020000	 0.0	mv	lock.QC_hg38__Promoter_Flanking_Region
117608	f0cd9bfb7d	74	0:00:00.040000	 0.0	cut	lock.QC_hg38__Promoter_Flanking_Region_sort.bed
117610	f0cd9bfb7d	76	0:00:01	 0.0007	cut	lock.QC_hg38__Promoter_Flanking_Region_sort.bed
117609	f0cd9bfb7d	75	0:00:01.010000	 0.0023	grep	lock.QC_hg38__Promoter_Flanking_Region_sort.bed
117611	f0cd9bfb7d	77	0:00:01.030000	 0.01	bedtools	lock.QC_hg38__Promoter_Flanking_Region_sort.bed
117613	a6f0dfd50a	78	0:00:11.190000	 0.013	bedtools	lock.QC_hg38__K562_GRO-seq_Promoter_Flanking_Region_plus_coverage.bed
117624	2b43b9cae8	79	0:00:10.870000	 0.0099	bedtools	lock.QC_hg38__K562_GRO-seq_Promoter_Flanking_Region_minus_coverage.bed
117635	c66fc4443a	81	0:00:00.290000	 0.0015	mv	lock.QC_hg38__5_UTR
117636	7fcd3b0734	82	0:00:00.050000	 0.0	cut	lock.QC_hg38__5_UTR_sort.bed
117637	7fcd3b0734	83	0:00:00.500000	 0.0026	grep	lock.QC_hg38__5_UTR_sort.bed
117639	7fcd3b0734	85	0:00:00.540000	 0.0295	bedtools	lock.QC_hg38__5_UTR_sort.bed
