# Pipeline started at 05-27 08:14:58

# pid	hash	cid	runtime	mem	cmd	lock
70931	662ab3780f	1	0:03:41.150000	 0.0032	cat	lock.raw__K562_PRO-seq.merged.fastq.gz
71154	d736f77eaf	2	0:17:59.900000	 0.0025	pigz	lock.fastq__K562_PRO-seq_R1.fastq
84332	592c90ddc4	3	0:13:46.590000	 0.7477	cutadapt	lock.fastq__K562_PRO-seq_R1_processed.fastq
87891	902282688c	4	0:09:41.240000	 0.0008	seqtk	lock.fastq__K562_PRO-seq_R1_processed.fastq
87892	902282688c	5	0:09:51.030000	 0.0023	seqtk	lock.fastq__K562_PRO-seq_R1_processed.fastq
89531	78c13b97da	6	0:00:00.030000	 0.0	echo	lock.fastqc__K562_PRO-seq_R1_processed_fastqc.html
89927	712ddc17b3	6f	0:30:25.260000	 0.3061	fastqc	lock.trimmed_fastqc
93279	ac3430cf25	7	0:00:00.130000	 0.0015	touch	lock.fastq__processed_R1.flag
93285	0d3d61c4d3	8	0:00:06.890000	 0.2011	Rscript	lock.cutadapt__K562_PRO-seq_R1_adapter_insertion_distribution.pdf
99626	22c29c03cf	9	2:34:09.380000	 4.0578	bowtie2	lock.aligned_hg38__K562_PRO-seq_sort.bam
99633	22c29c03cf	10	2:34:29.450000	 0.0038	samtools	lock.aligned_hg38__K562_PRO-seq_sort.bam
99634	22c29c03cf	11	3:33:04.690000	 0.9615	samtools	lock.aligned_hg38__K562_PRO-seq_sort.bam
127236	6cdd7819c2	12	0:09:45.480000	 0.0289	samtools	lock.aligned_hg38__K562_PRO-seq_sort.bam
134857	cecc0bd3c6	13	0:07:50.670000	 0.019	pigz	lock.prealignments__K562_PRO-seq_human_rDNA_unmap.fq.gz
135609	800c82161b	14	0:06:35.540000	 0.0267	samtools	lock.aligned_hg38__K562_PRO-seq_temp.bam.bai
136323	95a7bf8f33	15	0:05:43.720000	 0.0238	samtools	lock.aligned_hg38__K562_PRO-seq_noMT.bam
137410	1e06d45031	18	0:00:00.100000	 0.0	awk	lock.aligned_hg38__K562_PRO-seq_noMT.bam
137408	1e06d45031	16	0:00:00.110000	 0.0105	samtools	lock.aligned_hg38__K562_PRO-seq_noMT.bam
137411	1e06d45031	19	0:00:00.130000	 0.0	grep	lock.aligned_hg38__K562_PRO-seq_noMT.bam
137409	1e06d45031	17	0:00:00.140000	 0.0007	cut	lock.aligned_hg38__K562_PRO-seq_noMT.bam
137413	43b1a3c6df	20	0:05:36.060000	 0.0296	samtools	lock.aligned_hg38__K562_PRO-seq_noMT.bam
137984	fe1d04a888	21	0:00:02.440000	 0.0015	mv	lock.aligned_hg38__K562_PRO-seq_noMT.bam
137993	95a7bf8f33	22	0:05:36.520000	 0.0238	samtools	lock.aligned_hg38__K562_PRO-seq_noMT.bam
141187	d60207c33b	24	0:06:22.030000	 12.1652	/scratch/jps3dp/tools/databio//peppro/tools/bamQC.py	lock.QC_hg38__K562_PRO-seq_bamQC.tsv
142117	a564b0a2ae	25	0:01:19.300000	 0.0179	samtools	lock.aligned_hg38__K562_PRO-seq_unmap.bam
142526	96cffc3f76	26	0:28:09.490000	 0.0063	samtools	lock.aligned_hg38__K562_PRO-seq_minus.bam
146543	c9fd1532df	27	0:26:28.460000	 0.0063	samtools	lock.aligned_hg38__K562_PRO-seq_minus.bam
150242	a8b2ef5eb8	28	0:00:00.410000	 0.0015	sed	lock.QC_hg38__minus_TSS.tsv
150249	f2dc18fb62	29	0:00:40.620000	 1.25	/scratch/jps3dp/tools/databio//peppro/tools/pyTssEnrichment.py	lock.QC_hg38__K562_PRO-seq_plus_TssEnrichment.txt
150345	016fd32aea	30	0:00:31.960000	 1.3377	/scratch/jps3dp/tools/databio//peppro/tools/pyTssEnrichment.py	lock.QC_hg38__K562_PRO-seq_minus_TssEnrichment.txt
150424	32f6eaf170	31	0:00:07.540000	 0.2034	Rscript	lock.QC_hg38__K562_PRO-seq_TSSenrichment.pdf
150455	cf3f3330ae	32	0:00:00.050000	 0.0	samtools	lock.QC_hg38__chr_order.txt
150457	cf3f3330ae	34	0:00:00.060000	 0.0	awk	lock.QC_hg38__chr_order.txt
150456	cf3f3330ae	33	0:00:00.080000	 0.0	grep	lock.QC_hg38__chr_order.txt
150458	cf3f3330ae	35	0:00:00.090000	 0.0	awk	lock.QC_hg38__chr_order.txt
150460	32737859d5	36	0:00:00.030000	 0.0015	cut	lock.QC_hg38__chr_keep.txt
150462	575332b021	37	0:00:01.630000	 0.0023	grep	lock.QC_hg38__hg38_ensembl_gene_body.bed
150463	575332b021	38	0:00:01.820000	 0.0985	bedtools	lock.QC_hg38__hg38_ensembl_gene_body.bed
150469	4848aab195	39	0:00:00.310000	 0.0026	grep	lock.QC_hg38__hg38_ensembl_gene_body.bed
150470	4848aab195	40	0:00:00.340000	 0.0041	bedtools	lock.QC_hg38__hg38_ensembl_gene_body.bed
150473	c504091662	42	0:08:23.430000	 0.001	awk	lock.QC_hg38__K562_PRO-seq_TSS_density.bed
150475	c504091662	44	0:08:24.550000	 0.0025	sort	lock.QC_hg38__K562_PRO-seq_TSS_density.bed
