# Pipeline started at 06-11 16:59:46

# pid	hash	cid	runtime	mem	cmd	lock
170884	3c2c08f5fc	1	0:00:00.040000	 0.0004	ln	lock.raw__K562_PRO-seq_06.fastq.gz
170885	0e2956cce7	2	0:00:54.610000	 0.0025	pigz	lock.fastq__K562_PRO-seq_06_R1.fastq
171343	9d543b95f4	3	0:00:49.030000	 3.9553	cutadapt	lock.fastq__K562_PRO-seq_06_R1_processed.fastq
171415	282ce75152	4	0:00:30.700000	 0.0008	seqtk	lock.fastq__K562_PRO-seq_06_R1_processed.fastq
171416	282ce75152	5	0:00:36.210000	 0.0023	seqtk	lock.fastq__K562_PRO-seq_06_R1_processed.fastq
171938	78c13b97da	6	0:00:00.030000	 0.0	echo	lock.fastqc__K562_PRO-seq_06_R1_processed_fastqc.html
171956	bbb6885d9b	6f	0:01:39.590000	 0.1966	fastqc	lock.trimmed_fastqc
172162	cfdce44293	7	0:00:00.040000	 0.0015	touch	lock.fastq__processed_R1.flag
172163	c25ff6edd3	8	0:00:06.070000	 0.2043	Rscript	lock.cutadapt__K562_PRO-seq_06_R1_adapter_insertion_distribution.pdf
172819	f57a1f2d89	9	0:15:01.950000	 3.7168	bowtie2	lock.aligned_hg38__K562_PRO-seq_06_sort.bam
172820	f57a1f2d89	10	0:15:22	 0.0037	samtools	lock.aligned_hg38__K562_PRO-seq_06_sort.bam
172821	f57a1f2d89	11	0:18:55.670000	 0.8881	samtools	lock.aligned_hg38__K562_PRO-seq_06_sort.bam
178942	fa6e2b7a15	12	0:00:55.640000	 0.0184	samtools	lock.aligned_hg38__K562_PRO-seq_06_sort.bam
182120	afb21c6653	13	0:00:49.550000	 0.0092	pigz	lock.prealignments__K562_PRO-seq_06_human_rDNA_unmap.fq.gz
182193	fa10895374	14	0:00:25.210000	 0.0126	samtools	lock.aligned_hg38__K562_PRO-seq_06_temp.bam.bai
182222	22a0b95772	15	0:00:22.630000	 0.0118	samtools	lock.aligned_hg38__K562_PRO-seq_06_noMT.bam
182255	bea238c71f	16	0:00:00.050000	 0.0	samtools	lock.aligned_hg38__K562_PRO-seq_06_noMT.bam
182257	bea238c71f	18	0:00:00.080000	 0.0	awk	lock.aligned_hg38__K562_PRO-seq_06_noMT.bam
182256	bea238c71f	17	0:00:00.110000	 0.0	cut	lock.aligned_hg38__K562_PRO-seq_06_noMT.bam
182258	bea238c71f	19	0:00:00.130000	 0.0	grep	lock.aligned_hg38__K562_PRO-seq_06_noMT.bam
182260	46f838d791	20	0:00:33.860000	 0.0193	samtools	lock.aligned_hg38__K562_PRO-seq_06_noMT.bam
182508	4c7b8f5993	21	0:00:00.260000	 0.0008	mv	lock.aligned_hg38__K562_PRO-seq_06_noMT.bam
182510	22a0b95772	22	0:00:23.590000	 0.0113	samtools	lock.aligned_hg38__K562_PRO-seq_06_noMT.bam
182754	da2c605edb	24	0:00:28.220000	 1.4958	/scratch/jps3dp/tools/databio//peppro/tools/bamQC.py	lock.QC_hg38__K562_PRO-seq_06_bamQC.tsv
182825	96dbac361e	25	0:00:04.570000	 0.0094	samtools	lock.aligned_hg38__K562_PRO-seq_06_unmap.bam
182861	43a6af9359	26	0:01:53.450000	 0.0063	samtools	lock.aligned_hg38__K562_PRO-seq_06_minus.bam
182975	e59f5c9df8	27	0:01:50.160000	 0.0063	samtools	lock.aligned_hg38__K562_PRO-seq_06_minus.bam
183542	83d8b8dda5	28	0:00:00.500000	 0.0015	sed	lock.QC_hg38__minus_TSS.tsv
183544	13c34ceda5	29	0:00:05.540000	 0.7091	/scratch/jps3dp/tools/databio//peppro/tools/pyTssEnrichment.py	lock.QC_hg38__K562_PRO-seq_06_plus_TssEnrichment.txt
183575	24e61b8cf4	30	0:00:04.980000	 0.8142	/scratch/jps3dp/tools/databio//peppro/tools/pyTssEnrichment.py	lock.QC_hg38__K562_PRO-seq_06_minus_TssEnrichment.txt
183606	c3d784cd0b	31	0:00:07.590000	 0.2221	Rscript	lock.QC_hg38__K562_PRO-seq_06_TSSenrichment.pdf
183631	b96dc87a83	32	0:00:00.050000	 0.0	samtools	lock.QC_hg38__chr_order.txt
183633	b96dc87a83	34	0:00:00.080000	 0.0	awk	lock.QC_hg38__chr_order.txt
183632	b96dc87a83	33	0:00:00.100000	 0.0	grep	lock.QC_hg38__chr_order.txt
183634	b96dc87a83	35	0:00:00.130000	 0.0	awk	lock.QC_hg38__chr_order.txt
183636	352cd8eb87	36	0:00:00.040000	 0.0022	cut	lock.QC_hg38__chr_keep.txt
183639	77eeae4ab5	37	0:00:01.660000	 0.0042	grep	lock.QC_hg38__hg38_ensembl_gene_body.bed
183640	77eeae4ab5	38	0:00:01.890000	 0.0998	bedtools	lock.QC_hg38__hg38_ensembl_gene_body.bed
