# Pipeline started at 06-11 19:07:40

# pid	hash	cid	runtime	mem	cmd	lock
239583	68cc8ae101	1	0:02:48.130000	 0.0032	cat	lock.raw__K562_PRO-seq_100.merged.fastq.gz
240015	b2fb1312f0	2	0:14:06.720000	 0.0026	pigz	lock.fastq__K562_PRO-seq_100_R1.fastq
243484	49a93d7fbb	3	0:14:00.520000	 11.493	cutadapt	lock.fastq__K562_PRO-seq_100_R1_processed.fastq
245187	85c67a4ad1	4	0:08:57.250000	 0.0008	seqtk	lock.fastq__K562_PRO-seq_100_R1_processed.fastq
245188	85c67a4ad1	5	0:09:01.190000	 0.0023	seqtk	lock.fastq__K562_PRO-seq_100_R1_processed.fastq
247019	78c13b97da	6	0:00:00.020000	 0.0	echo	lock.fastqc__K562_PRO-seq_100_R1_processed_fastqc.html
247474	fd230339c3	6f	0:26:15	 0.2999	fastqc	lock.trimmed_fastqc
250743	758bf4ce83	7	0:00:00.130000	 0.0015	touch	lock.fastq__processed_R1.flag
250749	9f97a3c12a	8	0:00:06.170000	 0.2043	Rscript	lock.cutadapt__K562_PRO-seq_100_R1_adapter_insertion_distribution.pdf
258021	130040fd31	9	2:25:13.030000	 4.2273	bowtie2	lock.aligned_hg38__K562_PRO-seq_100_sort.bam
258027	130040fd31	10	2:25:33.080000	 0.0037	samtools	lock.aligned_hg38__K562_PRO-seq_100_sort.bam
258028	130040fd31	11	3:21:41.240000	 0.9057	samtools	lock.aligned_hg38__K562_PRO-seq_100_sort.bam
279311	af6dbca036	12	0:08:43.870000	 0.0356	samtools	lock.aligned_hg38__K562_PRO-seq_100_sort.bam
286219	3f42254585	13	0:06:41.760000	 0.0241	pigz	lock.prealignments__K562_PRO-seq_100_human_rDNA_unmap.fq.gz
286889	e17be1ddd9	14	0:06:32.970000	 0.0271	samtools	lock.aligned_hg38__K562_PRO-seq_100_temp.bam.bai
287540	de4b0c06b7	15	0:05:37.950000	 0.0244	samtools	lock.aligned_hg38__K562_PRO-seq_100_noMT.bam
288312	8febb9faa4	18	0:00:00.090000	 0.0	awk	lock.aligned_hg38__K562_PRO-seq_100_noMT.bam
288310	8febb9faa4	16	0:00:00.100000	 0.0098	samtools	lock.aligned_hg38__K562_PRO-seq_100_noMT.bam
288313	8febb9faa4	19	0:00:00.120000	 0.0	grep	lock.aligned_hg38__K562_PRO-seq_100_noMT.bam
288311	8febb9faa4	17	0:00:00.130000	 0.0007	cut	lock.aligned_hg38__K562_PRO-seq_100_noMT.bam
288315	8115556b4e	20	0:04:16.330000	 0.0368	samtools	lock.aligned_hg38__K562_PRO-seq_100_noMT.bam
288608	38dd365e11	21	0:00:03	 0.0015	mv	lock.aligned_hg38__K562_PRO-seq_100_noMT.bam
288612	de4b0c06b7	22	0:05:31.350000	 0.0243	samtools	lock.aligned_hg38__K562_PRO-seq_100_noMT.bam
291051	3090dd5df3	24	0:04:00.970000	 16.5958	/scratch/jps3dp/tools/databio//peppro/tools/bamQC.py	lock.QC_hg38__K562_PRO-seq_100_bamQC.tsv
291601	4664306258	25	0:01:10.580000	 0.0167	samtools	lock.aligned_hg38__K562_PRO-seq_100_unmap.bam
291818	12b13f6dd0	26	0:27:15.170000	 0.0063	samtools	lock.aligned_hg38__K562_PRO-seq_100_minus.bam
294786	c855e48598	27	0:25:38.830000	 0.0063	samtools	lock.aligned_hg38__K562_PRO-seq_100_minus.bam
297442	d2a824d981	28	0:00:00.370000	 0.0015	sed	lock.QC_hg38__minus_TSS.tsv
297448	09944c4c44	29	0:00:35.860000	 1.7444	/scratch/jps3dp/tools/databio//peppro/tools/pyTssEnrichment.py	lock.QC_hg38__K562_PRO-seq_100_plus_TssEnrichment.txt
297553	df2f933eda	30	0:00:27.060000	 2.0084	/scratch/jps3dp/tools/databio//peppro/tools/pyTssEnrichment.py	lock.QC_hg38__K562_PRO-seq_100_minus_TssEnrichment.txt
297652	a9f6ba7136	31	0:00:07.260000	 0.2043	Rscript	lock.QC_hg38__K562_PRO-seq_100_TSSenrichment.pdf
297684	4e56ca2c55	32	0:00:00.050000	 0.0	samtools	lock.QC_hg38__chr_order.txt
297686	4e56ca2c55	34	0:00:00.060000	 0.0	awk	lock.QC_hg38__chr_order.txt
297685	4e56ca2c55	33	0:00:00.080000	 0.0	grep	lock.QC_hg38__chr_order.txt
297687	4e56ca2c55	35	0:00:00.090000	 0.0	awk	lock.QC_hg38__chr_order.txt
297689	752649e2a0	36	0:00:00.030000	 0.0015	cut	lock.QC_hg38__chr_keep.txt
297691	bb84e70b47	37	0:00:01.620000	 0.0023	grep	lock.QC_hg38__hg38_ensembl_gene_body.bed
