File_mb	18213.9	PEPPRO
Read_type	SINGLE	PEPPRO
Genome	hg38	PEPPRO
Raw_reads	248316549	PEPPRO
Fastq_reads	248316549	PEPPRO
Reads_with_adapter	211550349.0	PEPPRO
Uninformative_adapter_reads	6217636.0	PEPPRO
Pct_uninformative_adapter_reads	2.5039	PEPPRO
Trimmed_reads	242098913	PEPPRO
Trim_loss_rate	2.5	PEPPRO
Peak_adapter_insertion_size	34	PEPPRO
Degradation_ratio	0.2313	PEPPRO
Aligned_reads_human_rDNA	22342476.0	PEPPRO
Alignment_rate_human_rDNA	9.23	PEPPRO
Mapped_reads	217058791	PEPPRO
QC_filtered_reads	23375045	PEPPRO
Aligned_reads	193683746	PEPPRO
Alignment_rate	80.0	PEPPRO
Total_efficiency	78.0	PEPPRO
Read_depth	16.03	PEPPRO
Mitochondrial_reads	4576683	PEPPRO
Maximum_read_length	100	PEPPRO
Genome_size	3099922541	PEPPRO
NRF	0.47	PEPPRO
PBC1	0.7	PEPPRO
PBC2	4.99	PEPPRO
Unmapped_reads	2697646	PEPPRO
TSS_coding_score	13.9	PEPPRO
TSS_non-coding_score	5.8	PEPPRO
Pause_index	10.88	PEPPRO
Plus_FRiP	0.36	PEPPRO
Minus_FRiP	0.34	PEPPRO
mRNA_contamination	1.37	PEPPRO
Time	6:53:02	PEPPRO
Success	06-15-14:04:03	PEPPRO
