# Pipeline started at 02-27 09:24:02

# pid	hash	cid	runtime	mem	cmd	lock
119882	5a69ddf7f0	1	0:00:00.030000	 0.0004	ln	lock.raw__K562_RNA-seq_60.fastq.gz
119883	996a56cc1d	2	0:00:19.460000	 0.0028	pigz	lock.fastq__K562_RNA-seq_60_R1.fastq
119926	379625778d	3	0:00:31.090000	 0.163	cutadapt	lock.fastq__K562_RNA-seq_60_R1_processed.fastq
120154	699123f6aa	4	0:00:07.680000	 0.0008	seqtk	lock.fastq__K562_RNA-seq_60_R1_processed.fastq
120155	699123f6aa	5	0:00:14.600000	 0.0025	seqtk	lock.fastq__K562_RNA-seq_60_R1_processed.fastq
120193	78c13b97da	6	0:00:00.020000	 0.0	echo	lock.fastqc__K562_RNA-seq_60_R1_processed_fastqc.html
120198	8d41a3ca0b	6f	0:00:45.340000	 0.202	fastqc	lock.trimmed_fastqc
120257	e3b22c70b1	7	0:00:00.050000	 0.0004	touch	lock.fastq__processed_R1.flag
120258	ba3c8734c0	8	0:00:04.820000	 0.2369	Rscript	lock.cutadapt__K562_RNA-seq_60_R1_adapter_insertion_distribution.pdf
120401	7d4ed6fb23	9	0:10:51.270000	 3.5341	bowtie2	lock.aligned_hg38__K562_RNA-seq_60_sort.bam
120402	7d4ed6fb23	10	0:11:11.320000	 0.0035	samtools	lock.aligned_hg38__K562_RNA-seq_60_sort.bam
120403	7d4ed6fb23	11	0:12:18.060000	 0.8649	samtools	lock.aligned_hg38__K562_RNA-seq_60_sort.bam
121526	598223dd38	12	0:00:36.720000	 0.0115	samtools	lock.aligned_hg38__K562_RNA-seq_60_sort.bam
122325	7b2e880a24	13	0:00:50.500000	 0.0041	pigz	lock.prealignments__K562_RNA-seq_60_human_rDNA_unmap.fq.gz
122378	615f1214be	14	0:00:10.310000	 0.0091	samtools	lock.aligned_hg38__K562_RNA-seq_60_temp.bam.bai
122392	91b16e6368	15	0:00:07.740000	 0.0087	samtools	lock.aligned_hg38__K562_RNA-seq_60_noMT.bam
122401	779547a1a1	18	0:00:00.050000	 0.0	grep	lock.aligned_hg38__K562_RNA-seq_60_noMT.bam
122399	779547a1a1	16	0:00:00.060000	 0.0047	samtools	lock.aligned_hg38__K562_RNA-seq_60_noMT.bam
122400	779547a1a1	17	0:00:00.860000	 0.0007	cut	lock.aligned_hg38__K562_RNA-seq_60_noMT.bam
122402	779547a1a1	19	0:00:19.070000	 0.0302	xargs	lock.aligned_hg38__K562_RNA-seq_60_noMT.bam
122427	6a9b706ab8	20	0:00:00.120000	 0.0009	mv	lock.aligned_hg38__K562_RNA-seq_60_noMT.bam
122428	91b16e6368	21	0:00:07.540000	 0.0084	samtools	lock.aligned_hg38__K562_RNA-seq_60_noMT.bam
122465	b5b22894ae	23	0:00:16.310000	 0.367	/scratch/jps3dp/tools/databio/peppro/tools/bamQC.py	lock.QC_hg38__K562_RNA-seq_60_bamQC.tsv
122492	c7d2afced0	24	0:00:05.210000	 0.0103	samtools	lock.aligned_hg38__K562_RNA-seq_60_unmap.bam
122513	137e51811b	25	0:00:36.430000	 0.0064	samtools	lock.aligned_hg38__K562_RNA-seq_60_minus.bam
122549	cf52573942	26	0:00:35.150000	 0.0065	samtools	lock.aligned_hg38__K562_RNA-seq_60_minus.bam
122797	e09eda61a7	27	0:00:02.270000	 0.0011	sed	lock.QC_hg38__minus_TSS.tsv
122800	039f4eb734	28	0:00:07.350000	 0.1967	/scratch/jps3dp/tools/databio/peppro/tools/pyTssEnrichment.py	lock.QC_hg38__K562_RNA-seq_60_plus_TssEnrichment.txt
122817	f9f55d3af7	29	0:00:06.310000	 0.2008	/scratch/jps3dp/tools/databio/peppro/tools/pyTssEnrichment.py	lock.QC_hg38__K562_RNA-seq_60_minus_TssEnrichment.txt
122833	06311b33c5	30	0:00:05.140000	 0.2344	Rscript	lock.QC_hg38__K562_RNA-seq_60_TSSenrichment.pdf
122850	09e6bf3ebf	31	0:00:00.030000	 0.0	samtools	lock.QC_hg38__chr_order.txt
122852	09e6bf3ebf	33	0:00:00.050000	 0.0	awk	lock.QC_hg38__chr_order.txt
122851	09e6bf3ebf	32	0:00:00.060000	 0.0	grep	lock.QC_hg38__chr_order.txt
