# Pipeline started at 11-27 13:54:59

# pid	hash	cid	runtime	mem	cmd	lock
318626	bc58a717e9	1	0:00:00.050000	 0.0001	ln	lock.raw__tutorial_R1.fastq.gz
318628	54db041654	2	0:00:00.050000	 0.0001	ln	lock.raw__tutorial_R2.fastq.gz
318629	16fb38e0ee	3	0:00:01.660000	 0.0024	gzip	lock.fastq__tutorial_R2.fastq
318634	37badac3e3	4	0:00:01.620000	 0.0024	gzip	lock.fastq__tutorial_R2.fastq
318658	e86b68512a	5	0:00:10.530000	 0.1226		lock.fastq__tutorial_R1_processed.fastq
318685	be5a6f7f18	5f	0:00:13.480000	 0.164	fastqc	lock.trimmed_fastqc
318711	7c535e5abb	6	0:00:07.560000	 0.429		lock.fastq__tutorial_R2_trimmed.fastq
318724	e458d35d5a	7	0:00:00.350000	 0.0015	cp	lock.fastq__tutorial_R2_trimmed_dups.fastq
318725	d8e98f9576	8	0:00:02.510000	 0.0786	fastq_pair	lock.fastq__tutorial_R2_trimmed.fastq.paired.fq
318728	9a17915cbe	9	0:00:00.080000	 0.0001	mv	lock.fastq__repaired.flag
318730	dff4c2ab62	10	0:00:00.060000	 0.0001	mv	lock.fastq__repaired.flag
318731	947f1f1a82	11	0:00:00.090000	 0.0015	touch	lock.fastq__repaired.flag
318732	296b5185e1	12	0:00:00.070000	 0.0015	mkfifo	lock.prealignments__human_rDNA_bt2
318734	3a5dd57f4b	14	0:00:08.510000	 0.0323	bowtie2	lock.prealignments__tutorial_human_rDNA_unmap_R2.fq.gz
318749	a907588c6e	15	0:05:45.670000	 3.4646	bowtie2	lock.aligned_hg38__tutorial_sort.bam
318751	a907588c6e	17	0:05:50.780000	 0.201	samtools	lock.aligned_hg38__tutorial_sort.bam
318750	a907588c6e	16	0:05:50.800000	 0.0035	samtools	lock.aligned_hg38__tutorial_sort.bam
319341	8aff7ce549	18	0:00:08.070000	 0.0076	samtools	lock.aligned_hg38__tutorial_sort.bam
319372	6389e6be8a	19	0:00:04.330000	 0.0009	gzip	lock.prealignments__tutorial_human_rDNA_unmap_R1.fq.gz
319378	af7bed1671	20	0:00:04.550000	 0.0009	gzip	lock.prealignments__tutorial_human_rDNA_unmap_R2.fq.gz
319386	075c415608	21	0:00:00.830000	 0.0006	samtools	lock.aligned_hg38__tutorial_temp.bam.bai
319392	30e98b1907	22	0:00:00.420000	 0.0004	samtools	lock.aligned_hg38__tutorial_noMT.bam
319394	c06ec34b6c	23	0:00:00.180000	 0.0	samtools	lock.aligned_hg38__tutorial_noMT.bam
319396	c06ec34b6c	25	0:00:00.280000	 0.0	grep	lock.aligned_hg38__tutorial_noMT.bam
319395	c06ec34b6c	24	0:00:00.310000	 0.0	cut	lock.aligned_hg38__tutorial_noMT.bam
319397	c06ec34b6c	26	0:00:02.530000	 0.0107	xargs	lock.aligned_hg38__tutorial_noMT.bam
319402	66b5f83986	27	0:00:00.060000	 0.0009	mv	lock.aligned_hg38__tutorial_noMT.bam
319403	30e98b1907	28	0:00:00.420000	 0.0001	samtools	lock.aligned_hg38__tutorial_noMT.bam
319406	9b6b7f26f3	29	0:00:00.640000	 0.0036	samtools	lock.aligned_hg38__tutorial_PE2.bam
319407	9b6b7f26f3	30	0:00:00.880000	 0.0134	samtools	lock.aligned_hg38__tutorial_PE2.bam
319411	179e15ae28	31	0:00:02.280000	 0.0036	samtools	lock.aligned_hg38__tutorial_PE2.bam
319412	179e15ae28	32	0:00:04	 0.0684	samtools	lock.aligned_hg38__tutorial_PE2.bam
319418	d77e2f2d9e	33	0:00:00.150000	 0.0006	samtools	lock.aligned_hg38__tutorial_PE1.bam.bai
319419	6687104fcf	34	0:00:02.450000	 0.0338	/scratch/jps3dp/tools/databio/peppro/tools/bamQC.py	lock.QC_hg38__tutorial_bamQC.tsv
319425	57f22d174b	35	0:00:01.500000	 0.0064	samtools	lock.aligned_hg38__tutorial_unmap.bam
319430	3ddef1ab52	36	0:00:00.260000	 0.0017	samtools	lock.aligned_hg38__tutorial_minus.bam
319432	2a8fbc2447	37	0:00:00.230000	 0.0025	samtools	lock.aligned_hg38__tutorial_minus.bam
319434	84c64c13a5	38	0:00:00.310000	 0.0011	sed	lock.QC_hg38__minus_TSS.tsv
319436	2b230a4960	39	0:00:03.660000	 0.0778	/scratch/jps3dp/tools/databio/peppro/tools/pyTssEnrichment.py	lock.QC_hg38__tutorial_plus_TssEnrichment.txt
319444	912a997442	40	0:00:03.600000	 0.0795	/scratch/jps3dp/tools/databio/peppro/tools/pyTssEnrichment.py	lock.QC_hg38__tutorial_minus_TssEnrichment.txt
319451	bd4fb93a7a	41	0:00:07.310000	 0.1359	Rscript	lock.QC_hg38__tutorial_TSSenrichment.pdf
319486	7fa9f4b7a9	42	0:00:00.090000	 0.0	samtools	lock.QC_hg38__chr_order.txt
319489	7fa9f4b7a9	44	0:00:00.130000	 0.0	awk	lock.QC_hg38__chr_order.txt
319488	7fa9f4b7a9	43	0:00:00.170000	 0.0	grep	lock.QC_hg38__chr_order.txt
319490	7fa9f4b7a9	45	0:00:00.210000	 0.0	awk	lock.QC_hg38__chr_order.txt
319492	4b9e68a218	46	0:00:00.060000	 0.0025	cut	lock.QC_hg38__chr_keep.txt
319494	31a05f4fa4	47	0:00:02.560000	 0.0027	grep	lock.QC_hg38__hg38_ensembl_gene_body.bed
319495	31a05f4fa4	48	0:00:02.780000	 0.093	bedtools	lock.QC_hg38__hg38_ensembl_gene_body.bed
319499	30a1072307	49	0:00:00.520000	 0.0027	grep	lock.QC_hg38__hg38_ensembl_gene_body.bed
319500	30a1072307	50	0:00:00.600000	 0.0223	bedtools	lock.QC_hg38__hg38_ensembl_gene_body.bed
319503	0e544d6fa3	51	0:00:00.570000	 0.0055	bedtools	lock.QC_hg38__tutorial_TSS_density.bed
319505	0e544d6fa3	53	0:00:00.690000	 0.0021	sort	lock.QC_hg38__tutorial_TSS_density.bed
319504	0e544d6fa3	52	0:00:00.700000	 0.0011	awk	lock.QC_hg38__tutorial_TSS_density.bed
319506	0e544d6fa3	54	0:00:00.720000	 0.0028	sort	lock.QC_hg38__tutorial_TSS_density.bed
319509	279f147f5e	56	0:00:01.290000	 0.0011	awk	lock.QC_hg38__tutorial_gene_body_density.bed
319508	279f147f5e	55	0:00:01.310000	 0.0174	bedtools	lock.QC_hg38__tutorial_gene_body_density.bed
319510	279f147f5e	57	0:00:01.330000	 0.0028	sort	lock.QC_hg38__tutorial_gene_body_density.bed
319513	bee2eaa093	58	0:00:00.080000	 0.0	join	lock.QC_hg38__tutorial_pause_index.bed
319514	bee2eaa093	59	0:00:00.140000	 0.0	awk	lock.QC_hg38__tutorial_pause_index.bed
319515	bee2eaa093	60	0:00:00.170000	 0.0028	env	lock.QC_hg38__tutorial_pause_index.bed
319521	01f414dda9	61	0:00:06.580000	 0.2014	Rscript	lock.QC_hg38__tutorial_pause_index.pdf
319553	ef73e45263	62	0:00:00.080000	 0.0001	gzip	lock.QC_hg38__tutorial_pause_index.bed.gz
319566	5a3b4bf31d	63	0:00:00.300000	 0.0003	perl	lock.QC_hg38__tutorial_fragLenDistribution.pdf
319568	24bfa2082e	64	0:00:00.060000	 0.0	sort	lock.QC_hg38__tutorial_fragLenDistribution.pdf
319569	24bfa2082e	65	0:00:00.210000	 0.0015	uniq	lock.QC_hg38__tutorial_fragLenDistribution.pdf
319571	24fff46f7c	66	0:00:04.870000	 0.2339	Rscript	lock.QC_hg38__tutorial_fragLenDistribution.pdf
319602	f7d296320b	67	0:00:00.060000	 0.0004	ln	lock.raw__hg38_annotations.bed
319603	7a5bc973b4	68	0:00:00.660000	 0.0017	gzip	lock.raw__hg38_annotations.bed
